상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202409A0182113,씨유수영광안,비치그린점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26500,수영구,26500760,광안1동,2650010400,광안동,2650010400105360001,1,대지,536.0,1.0,부산광역시 수영구 광안동 536-1,265004214089,부산광역시 수영구 광일로29번가길,5,,2650010400105360001005930,,부산광역시 수영구 광일로29번가길 5,613808,48252,,1,,129.110320620124,35.1614115204777
MA0101202406A0194686,지에스25동래,아이파크점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700107570000,1,대지,757.0,,부산광역시 동래구 명륜동 757,262603130023,부산광역시 동래구 명륜로,170,,2626010700101900000000001,명륜아이파크1단지,부산광역시 동래구 명륜로 170,607010,47748,,,,129.082951467871,35.2099439255831
MA0101202406A0232881,지에스25반송,행복점,G2,소매,G204,종합 소매,G20405,편의점,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26350,해운대구,26350610,반송1동,2635010100,반송동,2635010100102501433,1,대지,250.0,1433.0,부산광역시 해운대구 반송동 250-1433,263503133028,부산광역시 해운대구 아랫반송로,67,1.0,2635010100102501433016804,,부산광역시 해운대구 아랫반송로 67-1,612802,48020,,1,,129.151696952461,35.2220149741129
MA0101202406A0231917,씨유장산햇별점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26350,해운대구,26350551,좌1동,2635010700,좌동,2635010700114650004,1,대지,1465.0,4.0,부산광역시 해운대구 좌동 1465-4,263504199085,부산광역시 해운대구 세실로69번길,5,,2635010700114650004011603,화창프라자,부산광역시 해운대구 세실로69번길 5,612836,48106,,,,129.176401524607,35.1708663308271
MA0101202406A0130964,씨유하단하리단점,,G2,소매,G204,종합 소매,G20405,편의점,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380562,하단2동,2638010300,하단동,2638010300104890016,1,대지,489.0,16.0,부산광역시 사하구 하단동 489-16,263804202102,부산광역시 사하구 낙동남로1423번길,127,,2638010300104890016014158,,부산광역시 사하구 낙동남로1423번길 127,604851,49308,,1,,128.963910798741,35.1116148228968
MA0101202406A0483129,씨유거제유림,아시아드점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26470,연제구,26470640,거제4동,2647010100,거제동,2647010100107140144,1,대지,714.0,144.0,부산광역시 연제구 거제동 714-144,264703000046,부산광역시 연제구 해맞이로,23,,2647010100107140144000011,유림아시아드,부산광역시 연제구 해맞이로 23,611768,47536,,1,,129.06705512375,35.1766934607466
MA0101202406A0551477,세븐부산감전낙동점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26530,사상구,26530645,감전동,2653010500,감전동,2653010500109560017,1,대지,956.0,17.0,부산광역시 사상구 감전동 956-17,265304217102,부산광역시 사상구 낙동대로916번길,29,,2653010500109560017000001,제,부산광역시 사상구 낙동대로916번길 29,617805,47029,,1,,128.971712730468,35.1427321342592
MA0101202406A0341445,세븐일레븐부산동삼,그린점,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,26,부산광역시,26200,영도구,26200670,동삼3동,2620012100,동삼동,2620012100111230006,1,대지,1123.0,6.0,부산광역시 영도구 동삼동 1123-6,262003128015,부산광역시 영도구 상리로,33,,2620012100111230006020173,,부산광역시 영도구 상리로 33,606083,49089,,1,,129.067942615243,35.0846874731096
MA0101202406A0316451,씨유,괴정스마트점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26380,사하구,26380530,괴정3동,2638010100,괴정동,2638010100102580000,1,대지,258.0,,부산광역시 사하구 괴정동 258,263802006002,부산광역시 사하구 낙동대로,180,,2638010100102600001000001,경성스마트더블유1차,부산광역시 사하구 낙동대로 180,604809,49338,,2,,128.996389929481,35.1019641406358
MA0101202406A0220338,세븐일레븐부산로미오점,,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,26,부산광역시,26170,동구,26170530,초량3동,2617010100,초량동,2617010100111650011,1,대지,1165.0,11.0,부산광역시 동구 초량동 1165-11,261704181427,부산광역시 동구 중앙대로274번길,7,3.0,2617010100111650011000001,부산역유림줄리엣,부산광역시 동구 중앙대로274번길 7-3,601837,48731,,1,,129.043899800139,35.1211151191212
MA0101202406A0333909,지에스25부산교대,정문점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26470,연제구,26470610,거제1동,2647010100,거제동,2647010100100890061,1,대지,89.0,61.0,부산광역시 연제구 거제동 89-61,264704211122,부산광역시 연제구 교대로22번길,4,,2647010100100890062007869,,부산광역시 연제구 교대로22번길 4,611802,47505,,2,,129.077330835019,35.1957662677404
MA0101202406A0077754,지에스25부산과기대점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26320,북구,26320521,구포3동,2632010500,구포동,2632010500108700000,1,대지,870.0,,부산광역시 북구 구포동 870,263204196302,부산광역시 북구 시랑로132번길,88,,2632010500100480302010816,학생복지센터,부산광역시 북구 시랑로132번길 88,616805,46639,,1,,129.005297336704,35.1941964053204
MA0101202406A0489454,씨유정관신도시,시장점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26710,기장군,26710256,정관읍,2671025622,정관읍,2671025622107190001,1,대지,719.0,1.0,부산광역시 기장군 정관읍 매학리 719-1,267103140044,부산광역시 기장군 정관읍 정관6로,5,20.0,2671032022107190001000001,미래안전통상가,부산광역시 기장군 정관읍 정관6로 5-20,619963,46017,,1,,129.175358437671,35.3204813597625
MA0101202406A0101722,세븐일레븐부산달맞이경동점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26350,해운대구,26350540,중2동,2635010600,중동,2635010600115150002,1,대지,1515.0,2.0,부산광역시 해운대구 중동 1515-2,263504199021,부산광역시 해운대구 달맞이길65번길,12,12.0,2635010600115140003005818,경동메르빌,부산광역시 해운대구 달맞이길65번길 12-12,612883,48117,,,,129.17404269229,35.160176146525
MA0101202406A0249285,지에스25대연용소초교점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2629010600118580000,1,대지,1858.0,,부산광역시 남구 대연동 1858,262903131037,부산광역시 남구 수영로,345,,2629010600101100001000001,대연힐스테이트푸르지오,부산광역시 남구 수영로 345,608745,48432,,1,,129.10352241888,35.1398840660952
MA0101202406A0098977,씨유기장현대점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26710,기장군,26710250,기장읍,2671025027,기장읍,2671025027100170003,1,대지,17.0,3.0,부산광역시 기장군 기장읍 청강리 17-3,267102006018,부산광역시 기장군 기장읍 기장대로,543,2.0,2671025027100170003000001,,부산광역시 기장군 기장읍 기장대로 543-2,619906,46064,,1,,129.220507476242,35.2438134695324
MA0101202406A0123754,이마트24기장대변항등대점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26710,기장군,26710250,기장읍,2671025028,기장읍,2671025028103040000,1,대지,304.0,,부산광역시 기장군 기장읍 대변리 304,267103140057,부산광역시 기장군 기장읍 기장해안로,631,,2671025028103040001012624,,부산광역시 기장군 기장읍 기장해안로 631,619904,46079,,1,,129.231131518223,35.222648961892
MA0101202406A0254048,지에스25연지청구점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26230,부산진구,26230540,연지동,2623010600,연지동,2623010600100230017,1,대지,23.0,17.0,부산광역시 부산진구 연지동 23-17,262304187238,부산광역시 부산진구 동평로291번길,30,17.0,2623010600100230017000623,연지청구2차,부산광역시 부산진구 동평로291번길 30-17,614859,47121,,1,,129.057145028247,35.1741137040115
MA0101202406A0046692,지에스25부대북문점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26410,금정구,26410600,장전1동,2641010800,장전동,2641010800101460001,1,대지,146.0,1.0,부산광역시 금정구 장전동 146-1,264104205314,부산광역시 금정구 수림로85번길,47,,2641010800101460001019939,,부산광역시 금정구 수림로85번길 47,609837,46281,,,,129.083179133391,35.2377494685012
