상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202406A0045894,조짐pt,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320520,구포2동,2632010500,구포동,2632010500109170002,1,대지,917,2,부산광역시 북구 구포동 917-2,263202006008,부산광역시 북구 백양대로,1039,,2632010500109170002011605,,부산광역시 북구 백양대로 1039,616806,46649,,3,,128.995804912109,35.1983815049788
MA0101202406A0311541,성공PT,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26350,해운대구,26350552,좌2동,2635010700,좌동,2635010700114830002,1,대지,1483,2,부산광역시 해운대구 좌동 1483-2,263504199084,부산광역시 해운대구 세실로27번길,15,,2635010700114830002003803,노블시티,부산광역시 해운대구 세실로27번길 15,612842,48111,,,,129.178260974931,35.1681655265811
MA0101202406A0458186,에이치엠피트니스센터,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300101830001,1,대지,183,1,부산광역시 부산진구 부전동 183-1,262304187419,부산광역시 부산진구 서전로10번길,61,,2623010300101860001029420,쥬디스태화신관,부산광역시 부산진구 서전로10번길 61,614845,47295,,7,,129.060353333272,35.1551167449119
MA0101202406A0259380,스탠다드짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290590,용호3동,2629010700,용호동,2629010700100840005,1,대지,84,5,부산광역시 남구 용호동 84-5,262903131025,부산광역시 남구 용호로,91,,2629010700100840005008641,휴렉스,부산광역시 남구 용호로 91,608831,48577,,4,,129.112743499738,35.1239804013713
MA0101202311A0056011,굿니스피티,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230600,전포1동,2623010200,전포동,2623010200103370008,1,대지,337,8,부산광역시 부산진구 전포동 337-8,262304187663,부산광역시 부산진구 전포대로200번길,33,,2623010200103370008034632,,부산광역시 부산진구 전포대로200번길 33,614867,47304,,1,,129.067344486334,35.1547452818865
MA0101202406A0290562,노블레스짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26470,연제구,26470650,연산1동,2647010200,연산동,2647010200103020003,1,대지,302,3,부산광역시 연제구 연산동 302-3,264703137017,부산광역시 연제구 신금로,25,,2647010200103020003018510,노블레스스퀘어,부산광역시 연제구 신금로 25,611811,47560,,,,129.094371555541,35.1915976783422
MA0101202406A0070377,오르카짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26140,서구,26140680,암남동,2614012400,암남동,2614012400100620017,1,대지,62,17,부산광역시 서구 암남동 62-17,261403006004,부산광역시 서구 감천로,253,,2614012400100620017017647,,부산광역시 서구 감천로 253,602830,49265,,3,,129.015682513873,35.0816386217243
MA0101202406A0043618,플러스휘트니스,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26380,사하구,26380601,다대1동,2638010600,다대동,2638010600115480018,1,대지,1548,18,부산광역시 사하구 다대동 1548-18,263804202164,부산광역시 사하구 다대낙조2길,3,,2638010600115480018041126,,부산광역시 사하구 다대낙조2길 3,604827,49505,,2,,128.965851777272,35.0503925575017
MA0101202311A0050415,프리미엄스퀘어짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320542,화명2동,2632010200,화명동,2632010200101900001,1,대지,190,1,부산광역시 북구 화명동 190-1,263202132001,부산광역시 북구 금곡대로,368,,2632010200101900001000208,,부산광역시 북구 금곡대로 368,616833,46517,,2,,129.014264881655,35.2412324162651
MA0101202311A0011395,마이루틴짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26470,연제구,26470630,거제3동,2647010100,거제동,2647010100105840001,1,대지,584,1,부산광역시 연제구 거제동 584-1,264703137001,부산광역시 연제구 거제시장로,42,,2647010100105840001012569,,부산광역시 연제구 거제시장로 42,611804,47543,,4,,129.070884157112,35.1831253729594
